"",,BATERAI,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992957220087,LAGIE COKLAT METE 25G,Pcs,2.00,IDR,5.000.00
8992957220100,LAGIE COKLAT TING2 KCG 30GR,Pcs,6.00,IDR,12.000.00
8992957220117,LAGIE COKLAT KRIM KCG 30GR,Pcs,2.00,IDR,4.000.00
8992957220209,LAGIE COKLAT ISI WAFER 25GR,Pcs,1.00,IDR,2.000.00
8992957246247,ALPINE FULL MILK 60 G,Pcs,1.00,IDR,8.000.00
8992957246346,ALPINE BITTERSWEET 60 G,Pcs,2.00,IDR,16.000.00
8992957251579,LAGIE PEANUT PIE 30G,Pcs,4.00,IDR,10.000.00
8992957354201,LAGIE GOLDEN CITY BALL WRN 50GR,Pcs,3.00,IDR,9.000.00
8992957361056,LAGIE BLK FRUIT&NUT42,Pcs,1.00,IDR,4.000.00
8992957361124,LAGIE GLN CITY BALL 50G,Pcs,9.00,IDR,31.500.00
8993058501105,EXTRA JOSS BAR,Pcs,1.00,IDR,2.500.00
8996001355855,BENGBENG WHITE 22GR,Pcs,3.00,IDR,4.500.00
8996196225308,CLOUD9 CRUNCHYBANANA11GR,Pcs,8.00,IDR,4.000.00
8996196225407,CLOUD9 CRUNCHYCHOCO11GR,Pcs,17.00,IDR,8.500.00
8999909172234,CHOKI CHOKI COK 30 X 11G,Pcs,5.00,IDR,5.000.00
95502489,KIT KAT COKLAT 17GR,Pcs,2.00,IDR,9.000.00
9556182023234,CADBURRY MILK 30 GR,Pcs,1.00,IDR,8.000.00
B20035,CHOCO STICK,Pcs,85.00,IDR,42.500.00
"",Total COKLAT :,,,IDR,330.500.00
"",,DEODORAN,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8934868015031,REXONA ICE COOL 10 GRAM,Pcs,1.00,IDR,2.000.00
"",Total DEODORAN :,,,IDR,2.000.00
Kode Barang,Nama Barang Unit,,Terjual,Mata Uang,Nilai Penjualan
8851932343831,PADDLE POP BANANA BOAT Pcs,,2.00,IDR,9.000.00
8999999034641,CORNETTO MINI CHOCO&VANILA Pcs,,2.00,IDR,5.000.00
8999999037635,WALLS DUNGDUNG KCG HJAU 38ML Pcs,,1.00,IDR,5.000.00
8999999047191,PADDLE POP CHOCO MAGMA 60 ML Pcs,,7.00,IDR,21.000.00
8999999047207,PADDLE POP RAINBOW POWER 60 ML Pcs,,10.00,IDR,30.000.00
8999999054526,WALLS CORNETTO DISC RAINBOW Pcs,,2.00,IDR,19.000.00
8999999280253,PADDLE POP TRICO 60 ML Pcs,,6.00,IDR,15.000.00
8999999282202,WALLS POPULER STOBERI 90ML Pcs,,1.00,IDR,4.500.00
8999999294021,WALLS FEAST RS VANILA 65ML Pcs,,8.00,IDR,40.000.00
8999999513757,WALLS CORNETTO OREO Pcs,,8.00,IDR,76.000.00
8999999519261,WALLS ICE CREAM SANDWICH STRWBRY Pcs,,5.00,IDR,34.500.00
"",Total ICE CREAM :,,,IDR,259.000.00
"",KACANG,,,,
Kode Barang,Nama Barang Unit,,Terjual,Mata Uang,Nilai Penjualan
8992775212110,GARUDA TELUR 100G Pcs,,2.00,IDR,14.000.00
8992775217030,GARUDA SNACK KEDELAI PDS 75GR Pcs,,1.00,IDR,6.000.00
"",Total KACANG :,,,IDR,20.000.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8999999390198,SUNLIGTH JERUK NIPIS CAIR 800,Pcs,1.00,IDR,15.000.00
"",Total KEPERLUAN KAMAR MANDI :,,,IDR,15.000.00
