Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8993058501105,EXTRA JOSS BAR,Pcs,1,IDR,2.500.00,
8996001355855,BENGBENG WHITE 22GR,Pcs,1,IDR,1.500.00,
8996196225308,CLOUD9 CRUNCHYBANANA11GR,Pcs,13,IDR,6.500.00,
8996196225407,CLOUD9 CRUNCHYCHOCO11GR,Pcs,12,IDR,6.000.00,
8999909172234,CHOKI CHOKI COK 30 X 11G,Pcs,10,IDR,10.000.00,
95502489,KIT KAT COKLAT 17GR,Pcs,1,IDR,4.500.00,
,Total COKLAT :,,,IDR,221.500.00,
,,COSMETIC,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8999999003807,CITRA WHITE BENGKOANG SACHET,Pcs,3,IDR,3.000.00,
,Total COSMETIC :,,,IDR,3.000.00,
,,DEODORAN,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8934868015024,REXONA FREE SPIRIT 10 GRAM,Pcs,1,IDR,2.000.00,
8999999049669,REXONA MEN INVISIBLE DRY,Pcs,1,IDR,14.500.00,
8999999718770,REXONA MEN ICE COOL 40 ML,Pcs,1,IDR,13.500.00,
,Total DEODORAN :,,,IDR,30.000.00,
,,DETERGEN,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8998866610223,DAIA SOFTENER VIOLET 900GR,Pcs,1,IDR,14.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8851932343831,PADDLE POP BANANA BOAT,Pcs,1,IDR,4.500.00,
8999999519261,WALLS ICE CREAM SANDWICH STRWBRY,Pcs,1,IDR,7.000.00,
,Total ICE CREAM :,,,IDR,11.500.00,
,,KACANG,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992775112137,GARUDA KACKULIT RS BAWANG 100,Pcs,2,IDR,17.000.00,
8992775204009,GARUDA KACANG ATOM 130 G,Pcs,3,IDR,21.000.00,
8992775210116,GARUDA KATOM 52GRAM,Pcs,1,IDR,3.000.00,
8992775211427,GARUDA PILUS ORIGINAL 95GR,Pcs,2,IDR,10.000.00,
8992775212110,GARUDA TELUR 100G,Pcs,1,IDR,7.000.00,
8992775217016,GARUDA KCG KEDELAI 75GR,Pcs,1,IDR,6.000.00,
8992775217030,GARUDA SNACK KEDELAI PDS 75GR,Pcs,1,IDR,6.000.00,
8995077600166,SUKRO DUA KELINCI 140GR,Pcs,1,IDR,8.000.00,
8995077600807,TIC TAC PILUS ORIGINAL90GR,Pcs,1,IDR,5.000.00,
8995077601767,SUKRO KACANG POLONG 140G,Pcs,1,IDR,8.000.00,
,Total KACANG :,,,IDR,91.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
711844110113,ABC KECAP MNS 135ML,Pcs,1,IDR,7.000.00,
,Total KECAP :,,,IDR,7.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8998866100717,MAMA LIME DOUBLE EXTRACT 800ML,Pcs,1,IDR,13.500.00,
,Total KEPERLUAN KAMAR MANDI :,,,IDR,13.500.00,
,,KONSINYASI,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
345111,NASI PAKET,Pcs,40,IDR,480.000.00,
35622222,NASI KUNING,Pcs,37,IDR,185.000.00,
356489,NASI UDUK,Pcs,31,IDR,232.500.00,
36523,KERIPIK 2500,Pcs,165,IDR,330.000.00,
6882148,NASI JIWAKU,Pcs,30,IDR,210.000.00,
8991001006561,DONAT ALL VARIANT,Pcs,3,IDR,9.000.00,
8994075260044,ROTI ALL VARIANT,Pcs,37,IDR,148.000.00,
B123,CILOK,Pcs,60,IDR,150.000.00,
B20011,PULSA20,Pcs,5,IDR,110.000.00,
,,KONSINYASI,,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
B20013,PULSA30,Pcs,1,IDR,31.500.00,
B20014,PULSA50,Pcs,3,IDR,155.500.00,
B20015,PULSA60,Pcs,1,IDR,66.200.00,
B20016,PULSA100,Pcs,1,IDR,101.500.00,
B20049,GORENGAN 1000,Pcs,288,IDR,288.000.00,
B20050,GORENGAN 1500,Pcs,416,IDR,624.000.00,
B20052,KUE SUS,Pcs,79,IDR,118.500.00,
b20051,MARTABAK,Pcs,60,IDR,120.000.00,
,Total KONSINYASI :,,,IDR,3.359.700.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
749921010599,WEDANK SARI JAHE 5PCS@15GR,Pcs,1,IDR,9.000.00,
8991002101630,ABC SUSU ISI 5 32G,Pcs,3,IDR,18.000.00,
8991002101746,KOPI ABC MOCCA5X24X32 G,Pcs,1,IDR,6.000.00,
8991002103238,GOOD DAY MOCACINO5X20G,Pcs,3,IDR,18.000.00,
8991002103832,GOOD DAY CHOCOCINNO 5X20G,Pcs,1,IDR,6.000.00,
8991002104914,KAPAL API MOCHA ISI 5 32G,Pcs,1,IDR,6.000.00,
8996001401033,TORABIKA DUO 25GR ISI 5,Pcs,1,IDR,5.000.00,
8996001402023,TORABIKA SUSU ISI5@28GR,Pcs,3,IDR,18.000.00,
9311931024036,INDOCAFE MIX ISI 5,Pcs,4,IDR,24.000.00,
9311931181203,MAXTEA TARIKH ISI 5 DUS125GR,Pcs,1,IDR,9.500.00,
9556182014713,CADBURRY HOT COCOA,Pcs,2,IDR,11.500.00,
,Total KOPI PACK :,,,IDR,131.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8991001400178,DELFI HOT COCOA 3IN1 25GR,Pcs,5,IDR,24.000.00,
8991002101807,KOPI ABC MIX ISI 5@25GR,Pcs,2,IDR,11.000.00,
8991002105430,KAPAL API 65 G,Pcs,2,IDR,12.000.00,
8992775913000,GERY COKLAT DRINK 28GR,Pcs,3,IDR,10.500.00,
8994171101289,LUWAK WHITE KOFFIE 20G,Pcs,2,IDR,12.000.00,
,Total KOPI SACHET :,,,IDR,69.500.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
B20010,PULSA10,Pcs,8,IDR,96.000.00,
B20076,MASKER HIJAU,Pcs,3,IDR,3.000.00,
b20009,PULSA5,Pcs,3,IDR,21.000.00,
,Total LAIN LAIN :,,,IDR,120.000.00,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
