Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8998866610223,DAIA SOFTENER VIOLET 900GR,Pcs,1.00,IDR,14.500.00
"",Total DETERGEN :,,,IDR,14.500.00
"",,GULA,,,
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
02881263,GULA PASIR LOKAL 1 KG,Pcs,4.00,IDR,50.000.00
749921001122,TROPICANA DIABETICS 25SHEET,Pcs,1.00,IDR,21.000.00
8995177101112,GULAKU MURNI PREMIUM 1KG,Pcs,1.00,IDR,16.500.00
"",Total GULA :,,,IDR,87.500.00
Kode Barang,Nama Barang Unit,,Terjual,Mata Uang,Nilai Penjualan
8851932343831,PADDLE POP BANANA BOAT Pcs,,2.00,IDR,9.000.00
8851932368506,PADDLE POP OCTOPUS 45GR Pcs,,1.00,IDR,4.500.00
8999999005610,WALLS MAGNUM ALMOND 70 G Pcs,,1.00,IDR,12.000.00
8999999034641,CORNETTO MINI CHOCO&VANILA Pcs,,4.00,IDR,10.000.00
8999999037635,WALLS DUNGDUNG KCG HJAU 38ML Pcs,,1.00,IDR,5.000.00
8999999047191,PADDLE POP CHOCO MAGMA 60 ML Pcs,,5.00,IDR,15.000.00
8999999047207,PADDLE POP RAINBOW POWER 60 ML Pcs,,19.00,IDR,57.000.00
8999999054526,WALLS CORNETTO DISC RAINBOW Pcs,,3.00,IDR,28.500.00
8999999280253,PADDLE POP TRICO 60 ML Pcs,,7.00,IDR,17.500.00
8999999282196,WALLS POPULAIRE CUP COK90M Pcs,,3.00,IDR,13.500.00
8999999282202,WALLS POPULER STOBERI 90ML Pcs,,2.00,IDR,9.000.00
8999999294021,WALLS FEAST RS VANILA 65ML Pcs,,7.00,IDR,35.000.00
8999999520007,WALLS SOLERO MANGGA VANILA Pcs,,13.00,IDR,58.500.00
"",Total ICE CREAM :,,,IDR,274.500.00
"",KACANG,,,,
Kode Barang,Nama Barang Unit,,Terjual,Mata Uang,Nilai Penjualan
8992775204009,GARUDA KACANG ATOM 130 G Pcs,,1.00,IDR,7.000.00
8992775210116,GARUDA KATOM 52GRAM Pcs,,2.00,IDR,6.000.00
8992775210222,GARUDA KATOM PEDAS 100GR Pcs,,1.00,IDR,8.000.00
8992775212110,GARUDA TELUR 100G Pcs,,1.00,IDR,7.000.00
8992775217016,GARUDA KCG KEDELAI 75GR Pcs,,1.00,IDR,6.000.00
8995077600166,SUKRO DUA KELINCI 140GR Pcs,,1.00,IDR,8.000.00
"",Total KACANG :,,,IDR,42.000.00
"",KECAP,,,,
Kode Barang,Nama Barang Unit,,Terjual,Mata Uang,Nilai Penjualan
8999999514617,BANGO KECAP REFILL400ML Pcs,,1.00,IDR,17.500.00
"",Total KECAP :,,,IDR,17.500.00
"",KONSINYASI,,,,
Kode Barang,Nama Barang Unit,,Terjual,Mata Uang,Nilai Penjualan
2345,EKADO Pcs,,56.00,IDR,168.000.00
345111,NASI PAKET Pcs,,53.00,IDR,636.000.00
